Field1,Field2,Field3,Field4,Field5,Field6
64,-55.61059388,47.05276753,0.443463566,0.011854199,2020-09-06
64,-55.60825138,47.1427271,0.443463566,0.011854199,2020-09-06
64,-55.47640987,47.14104911,0.443463566,0.011854199,2020-09-06
64,-55.47897407,47.05109478,0.443463566,0.011854199,2020-09-06
64,-55.61059388,47.05276753,0.443463566,0.011854199,2020-09-06
65,-55.34736661,47.04927084,0.443423832,0.011851991,2020-09-16
65,-55.34458077,47.13921945,0.443423832,0.011851991,2020-09-16
65,-55.21276515,47.13723816,0.443423832,0.011851991,2020-09-16
65,-55.21577255,47.04729573,0.443423832,0.011851991,2020-09-16
65,-55.34736661,47.04927084,0.443423832,0.011851991,2020-09-16
66,-55.21577255,47.04729573,0.443401494,0.01185075,2020-09-16
66,-55.21276515,47.13723816,0.443401494,0.01185075,2020-09-16
66,-55.0809641,47.13510527,0.443401494,0.01185075,2020-09-16
66,-55.08419295,47.0451695,0.443401494,0.01185075,2020-09-16
66,-55.21577255,47.04729573,0.443401494,0.01185075,2020-09-16
67,-55.08419295,47.0451695,0.443377509,0.011849417,2020-09-16
67,-55.0809641,47.13510527,0.443377509,0.011849417,2020-09-16
67,-54.94917867,47.13282083,0.443377509,0.011849417,2020-09-16
67,-54.9526289,47.04289219,0.443377509,0.011849417,2020-09-16
67,-55.08419295,47.0451695,0.443377509,0.011849417,2020-09-16
68,-54.16363027,47.02605856,0.443163524,0.011837538,2019-09-19
68,-54.15885417,47.1159345,0.443163524,0.011837538,2019-09-19
68,-54.02720805,47.11259071,0.443163524,0.011837538,2019-09-19
68,-54.03220467,47.0227252,0.443163524,0.011837538,2019-09-19
68,-54.16363027,47.02605856,0.443163524,0.011837538,2019-09-19
69,-53.90080309,47.01924122,0.443087584,0.011833325,2019-09-19
69,-53.89558609,47.10909584,0.443087584,0.011833325,2019-09-19
69,-53.76398934,47.10544995,0.443087584,0.011833325,2019-09-19
69,-53.76942658,47.0156067,0.443087584,0.011833325,2019-09-19
69,-53.90080309,47.01924122,0.443087584,0.011833325,2019-09-19
70,-53.76942658,47.0156067,0.443047147,0.011831083,2019-09-19
70,-53.76398934,47.10544995,0.443047147,0.011831083,2019-09-19
70,-53.63241888,47.10165312,0.443047147,0.011831083,2019-09-19
70,-53.63807619,47.01182171,0.443047147,0.011831083,2019-09-19
70,-53.76942658,47.0156067,0.443047147,0.011831083,2019-09-19
71,-53.63807619,47.01182171,0.44300507,0.01182875,2019-09-19
71,-53.63241888,47.10165312,0.44300507,0.01182875,2019-09-19
71,-53.50087576,47.09770543,0.44300507,0.01182875,2019-09-19
71,-53.50675297,47.00788633,0.44300507,0.01182875,2019-09-19
71,-53.63807619,47.01182171,0.44300507,0.01182875,2019-09-19
72,-52.98175285,46.99064258,0.442770054,0.011815731,2019-09-19
72,-52.97499777,47.08040777,0.442770054,0.011815731,2019-09-19
72,-52.84360717,47.07570708,0.442770054,0.011815731,2019-09-19
72,-52.85058124,46.98595653,0.442770054,0.011815731,2019-09-19
72,-52.98175285,46.99064258,0.442770054,0.011815731,2019-09-19
73,-52.85058124,46.98595653,0.44271813,0.011812857,2019-09-19
73,-52.84360717,47.07570708,0.44271813,0.011812857,2019-09-19
73,-52.71225023,47.07085606,0.44271813,0.011812857,2019-09-19
73,-52.71944308,46.98112061,0.44271813,0.011812857,2019-09-19
73,-52.85058124,46.98595653,0.44271813,0.011812857,2019-09-19
74,-56.53139946,47.15022363,0.44399314,0.011878889,2020-09-06
74,-56.53060665,47.24020518,0.44399314,0.011878889,2020-09-06
74,-56.39848516,47.23958778,0.44399314,0.011878889,2020-09-06
74,-56.3995011,47.14960815,0.44399314,0.011878889,2020-09-06
74,-56.53139946,47.15022363,0.44399314,0.011878889,2020-09-06
75,-56.3995011,47.14960815,0.443985615,0.01187847,2020-09-06
75,-56.39848516,47.23958778,0.443985615,0.01187847,2020-09-06
75,-56.2663686,47.23881805,0.443985615,0.01187847,2020-09-06
75,-56.26760763,47.14884083,0.443985615,0.01187847,2020-09-06
75,-56.3995011,47.14960815,0.443985615,0.01187847,2020-09-06
76,-56.26760763,47.14884083,0.443976439,0.011877959,2020-09-06
76,-56.2663686,47.23881805,0.443976439,0.011877959,2020-09-06
76,-56.13425804,47.23789601,0.443976439,0.011877959,2020-09-06
76,-56.13572014,47.14792166,0.443976439,0.011877959,2020-09-06
76,-56.26760763,47.14884083,0.443976439,0.011877959,2020-09-06
77,-55.60825138,47.1427271,0.443905769,0.011874024,2020-09-06
